province,total_ballot,total_voters_in_opened_ballots,opened_ballots,votes_registered,votes_valid,total_parliamentarians
Adana,4545,1564603,4545,1353163,1328489,15
Adıyaman,1445,409639,1445,355486,346772,5
Afyonkarahisar,1807,520624,1807,472939,461128,6
Ağrı,1107,302380,1107,239250,231172,4
Amasya,943,253282,942,232362,227539,3
Antalya,5008,1725545,5008,1512972,1480089,17
Artvin,633,134723,633,118514,115439,2
Aydın,2562,837820,2561,748090,731384,8
Balıkesir,3219,970912,3218,884034,864427,9
Bilecik,641,158544,641,144428,141439,2
Bingöl,657,185314,657,151527,144738,3
Bitlis,780,203421,780,170479,164429,3
Bolu,978,228476,978,205755,201596,3
Burdur,700,201649,700,182386,176402,3
Çanakkale,1501,417980,1501,382216,374009,4
Çankırı,684,137515,684,121663,119101,2
Çorum,1690,401399,1690,366438,358549,4
Denizli,2346,768340,2346,703103,684429,7
Diyarbakır,3311,1048824,3310,881544,851479,12
Edirne,1003,318868,1003,283416,276331,4
Elazığ,1551,421502,1551,359557,350962,5
Erzincan,943,166603,943,150790,148470,2
Erzurum,2188,506604,2188,444132,435835,6
Eskişehir,2074,662901,2074,592544,581434,6
Gaziantep,3712,1245896,3712,1070878,1051011,14
Giresun,1304,343014,1304,298928,291570,4
Gümüşhane,575,103103,575,83161,81286,2
Hakkari,511,172432,511,144440,139731,3
Hatay,3125,1069133,3125,953342,939345,11
Isparta,1043,320771,1043,286961,279705,4
Mersin,3875,1304074,3875,1157396,1136503,13
Kars,714,186180,714,151871,147455,3
Kastamonu,1626,293081,1626,256639,249352,3
Kayseri,2998,978759,2998,890856,874832,10
Kırklareli,877,280105,876,253847,248778,3
Kırşehir,667,169799,667,147604,144198,2
Kocaeli,3877,1370599,3877,1235046,1211854,14
Konya,4701,1543825,4699,1381958,1353051,15
Kütahya,1595,433738,1594,397646,389108,5
Malatya,1977,570086,1977,501857,493380,6
Manisa,3436,1073268,3436,982382,958838,10
Kahramanmaraş,2391,758652,2390,681115,668761,8
Mardin,1634,482407,1633,407594,397143,6
Muğla,2231,744261,2231,662306,647838,7
Muş,788,234174,788,194979,188691,3
Nevşehir,713,216228,713,194870,191089,3
Niğde,778,246452,778,217281,212641,3
Ordu,2015,572459,2015,498720,484624,6
Rize,975,259039,975,228811,224204,3
Sakarya,2239,724540,2239,656620,645136,8
Samsun,3247,984610,3247,874421,853158,9
Siirt,614,184267,614,155965,150770,3
Sinop,765,164005,765,144275,139455,2
Sivas,2286,462275,2286,415961,408699,5
Tekirdağ,2174,756432,2174,677150,664324,8
Tokat,1664,434995,1663,394044,386542,5
Trabzon,2086,598510,2086,524733,513147,6
Tunceli,434,65959,434,57118,55863,1
Şanlıurfa,3651,1086795,3651,890267,869794,14
Uşak,895,273759,895,250093,243273,3
Van,2049,653626,2049,545548,527618,8
Yozgat,1283,304002,1283,263775,258935,4
Zonguldak,1508,458490,1508,404442,389279,5
Aksaray,891,273858,891,239163,233965,4
Bayburt,285,57566,285,49831,49104,1
Karaman,627,178210,627,161540,157682,3
Kırıkkale,708,203649,708,179077,175882,3
Batman,1125,350857,1125,301834,292803,5
Şırnak,854,275289,854,240546,233719,4
Bartın,556,150678,556,132448,126875,2
Ardahan,336,71150,336,60608,58419,2
Iğdır,408,122460,408,96102,93920,2
Yalova,515,182872,515,159852,157161,3
Karabük,711,180120,711,159025,154677,3
Kilis,361,87877,361,77390,75685,2
Osmaniye,1100,366817,1100,318061,312417,4
Düzce,914,274980,914,251503,246759,3
İstanbul 1. Bölge,10422,3923238,10422,3506853,3453466,35
İstanbul 2. Bölge,8316,3123929,8316,2738508,2695276,28
İstanbul 3. Bölge,10087,3794391,10087,3340652,3288177,35
Ankara 1. Bölge,4058,1439756,4058,1288018,1269343,13
Ankara 2. Bölge,3514,1217244,3514,1088599,1072221,11
Ankara 3. Bölge,3756,1353507,3756,1221618,1204645,12
İzmir 1. Bölge,4469,1620121,4469,1439891,1415504,14
İzmir 2. Bölge,4893,1693976,4892,1528150,1499387,14
Bursa 1. Bölge,3223,1130664,3222,1021361,1002288,10
Bursa 2. Bölge,3078,1075354,3078,966977,949402,10
Ankara,11328,4010507,11328,3598235,3546209,36
Bursa,6301,2206018,6300,1988338,1951690,20
İstanbul,28825,10841558,28825,9586013,9436919,98
İzmir,9362,3314097,9361,2968041,2914891,28
