Yapılış tarihi,Anketi yapan,Örneklem,AKP,CHP,İYİ,HDP,MHP,SP,Diğer,Yıl
18-22 Haziran,Piar[1],2464,37,23.4,15.7,14.1,6.5,3,0.3,2018
12 Haziran,Mediar[5],2401,41.51,26.27,10.73,12.12,5.81,2.25,1.31,2018
28 Mayıs-3 Haziran,REMRES[6][n 1],4482,40,23.6,15.2,10.4,5.1,4.2,1.5,2018
31 Mayıs,Piar[7],3500,34.8,23.4,17.2,14.1,7.3,2.5,0.7,2018
1-28 Mayıs,Konsensus[8],2000,43.7,27.4,11.3,9.7,7.4,0.3,0.2,2018
17-23 Mayıs,REMRES[10],4276,33.3,19.4,12.6,8.7,4.4,3.5,9.7,2018
22-23 Mayıs,Mediar[12],4268,39.61,22.61,17.6,11.39,5.31,2.29,1,2018
13-20 Mayıs,MAK[13],5500,45,23.5,8.5,9,9,"2,2","2,8",2018
Nisan,MetroPOLL[14],2000,48,21,12,10,6,1.5,1.5,2018
Nisan,Piar[15],2460,"44,24","23,42","17,53","12,05",0,"2,49","0,27",2018
26-29 Nisan,Mediar[16],2660,"42,5","22,9","17,1","13,2",0,"3,1","1,2",2018
21-22 Nisan,Mediar[17],1505,42.63,"20,69","16,46","7,94","8,07","2,21",0,2018
14-15 Nisan,Gezici [18],1505,49.9,19.7,"16,3","9,7",7,0,0,2018
14-24 Mart,Ankara Analitik [19],619,46,16,11,"4,6",10,0,13,2018
6-18 Mart,PİAR [20],5620,"53,1","35,4","24,3","11,7",10,0,"0,3",2018
Mart,ORC [21],2000,"56,2","26,5","7,1","8,3",10,0,"1,9",2018
Mart,Optimar [22],1547,"50,6","23,3","6,4","7,8","9,9",0,2,2018
23-27 Şubat,ORC [23],3420,"48,2","24,6","5,7","7,9","11,2",0,"2,4",2018
Şubat,PİAR [24],2000,"40,2","25,5","13,3",12,"7,3",0,"1,7",2018
12-14 Ocak,ORC [25],2680,"47,2","25,9","5,5","8,5","10,8",0,"2,1",2018
2-17 Aralık,Gezici [26],4238,"42,0","20,1","20,2","8,73","7,29",0,"1,68",2018
Aralık,SONAR [27],3000,"40,10","25,31","14,22","10,79","7,09",0,"2,49",2018
1-15 Aralık,Akdeniz[22],4080,"45,8","22,5","8,7","10,3","12,7",0,0,2018
1-6 Kasım,SONAR [28],3000,"38,51","23,50","16,06","10,33","7,78",0,3.82,2017
