alliance,total_vote,total_parliamentarians,province
Cumhur,616962,7,Adana
Millet,521621,6,Adana
IttifakDisi,189906,2,Adana
Cumhur,222788,4,Adıyaman
Millet,65687,1,Adıyaman
IttifakDisi,58297,0,Adıyaman
Cumhur,319727,4,Afyonkarahisar
Millet,133426,2,Afyonkarahisar
IttifakDisi,7975,0,Afyonkarahisar
Cumhur,72402,1,Ağrı
Millet,12443,0,Ağrı
IttifakDisi,146327,3,Ağrı
Cumhur,135155,2,Amasya
Millet,86391,1,Amasya
IttifakDisi,5993,0,Amasya
Cumhur,667171,7,Antalya
Millet,695757,8,Antalya
IttifakDisi,117161,1,Antalya
Cumhur,58532,1,Artvin
Millet,50472,1,Artvin
IttifakDisi,6435,0,Artvin
Cumhur,296942,4,Aydın
Millet,361434,4,Aydın
IttifakDisi,73008,0,Aydın
Cumhur,423227,5,Balıkesir
Millet,399810,4,Balıkesir
IttifakDisi,41390,0,Balıkesir
Cumhur,74460,1,Bilecik
Millet,61361,1,Bilecik
IttifakDisi,5618,0,Bilecik
Cumhur,88510,2,Bingöl
Millet,10784,0,Bingöl
IttifakDisi,45444,1,Bingöl
Cumhur,80406,2,Bitlis
Millet,11708,0,Bitlis
IttifakDisi,72315,1,Bitlis
Cumhur,135205,2,Bolu
Millet,61247,1,Bolu
IttifakDisi,5144,0,Bolu
Cumhur,98165,2,Burdur
Millet,73480,1,Burdur
IttifakDisi,4757,0,Burdur
Cumhur,165700,2,Çanakkale
Millet,192082,2,Çanakkale
IttifakDisi,16227,0,Çanakkale
Cumhur,93896,2,Çankırı
Millet,23429,0,Çankırı
IttifakDisi,1776,0,Çankırı
Cumhur,236802,3,Çorum
Millet,106950,1,Çorum
IttifakDisi,14797,0,Çorum
Cumhur,341957,4,Denizli
Millet,310410,4,Denizli
IttifakDisi,32062,0,Denizli
Cumhur,194635,3,Diyarbakır
Millet,59388,0,Diyarbakır
IttifakDisi,597456,9,Diyarbakır
Cumhur,92913,1,Edirne
Millet,171523,3,Edirne
IttifakDisi,11895,0,Edirne
Cumhur,239087,4,Elazığ
Millet,70803,1,Elazığ
IttifakDisi,41068,0,Elazığ
Cumhur,94103,2,Erzincan
Millet,45679,0,Erzincan
IttifakDisi,8688,0,Erzincan
Cumhur,319678,5,Erzurum
Millet,62451,1,Erzurum
IttifakDisi,53706,0,Erzurum
Cumhur,283241,4,Eskişehir
Millet,270787,3,Eskişehir
IttifakDisi,27406,0,Eskişehir
Cumhur,673852,10,Gaziantep
Millet,241521,3,Gaziantep
IttifakDisi,135638,1,Gaziantep
Cumhur,187979,3,Giresun
Millet,97409,1,Giresun
IttifakDisi,6182,0,Giresun
Cumhur,62928,2,Gümüşhane
Millet,16875,0,Gümüşhane
IttifakDisi,1483,0,Gümüşhane
Cumhur,33203,1,Hakkari
Millet,7647,0,Hakkari
IttifakDisi,98881,2,Hakkari
Cumhur,475686,6,Hatay
Millet,356985,4,Hatay
IttifakDisi,106674,1,Hatay
Cumhur,170322,3,Isparta
Millet,101824,1,Isparta
IttifakDisi,7559,0,Isparta
Cumhur,470438,6,Mersin
Millet,466049,5,Mersin
IttifakDisi,200016,2,Mersin
Cumhur,66560,2,Kars
Millet,32990,0,Kars
IttifakDisi,47905,1,Kars
Cumhur,180318,2,Kastamonu
Millet,64388,1,Kastamonu
IttifakDisi,4646,0,Kastamonu
Cumhur,630865,8,Kayseri
Millet,219593,2,Kayseri
IttifakDisi,24374,0,Kayseri
Cumhur,78986,1,Kırklareli
Millet,160258,2,Kırklareli
IttifakDisi,9534,0,Kırklareli
Cumhur,83875,1,Kırşehir
Millet,52892,1,Kırşehir
IttifakDisi,7431,0,Kırşehir
Cumhur,722772,8,Kocaeli
Millet,394523,4,Kocaeli
