Province,wellbeing_norm,edu_norm,age_norm,opposition_index
Ankara,0.9,0.9,0.13,0.74
İstanbul,1.0,0.6,0.17,0.69
Eskişehir,0.73,0.98,0.08,0.69
Kocaeli,0.74,0.83,0.18,0.66
Yalova,0.74,0.82,0.09,0.64
Antalya,0.7,0.83,0.12,0.63
Isparta,0.7,0.83,0.09,0.62
Karabük,0.66,0.86,0.08,0.62
Bilecik,0.69,0.79,0.12,0.61
Bolu,0.71,0.79,0.08,0.61
Trabzon,0.65,0.84,0.09,0.6
Muğla,0.65,0.86,0.04,0.6
Bursa,0.72,0.72,0.12,0.6
Tekirdağ,0.73,0.66,0.13,0.59
Kırklareli,0.68,0.78,0.03,0.59
Artvin,0.62,0.86,0.02,0.58
Sakarya,0.67,0.7,0.14,0.57
Rize,0.63,0.79,0.06,0.57
Kırıkkale,0.6,0.81,0.09,0.57
İzmir,0.76,0.61,0.07,0.57
Erzincan,0.55,0.82,0.16,0.56
Hatay,0.69,0.56,0.26,0.56
Tunceli,0.43,1.0,0.06,0.56
Çanakkale,0.58,0.79,0.02,0.54
Kayseri,0.6,0.64,0.18,0.53
Edirne,0.61,0.72,0.02,0.53
Denizli,0.66,0.63,0.09,0.53
Kütahya,0.68,0.59,0.07,0.53
Balıkesir,0.64,0.67,0.01,0.53
Zonguldak,0.69,0.58,0.03,0.52
Uşak,0.69,0.53,0.08,0.51
Düzce,0.57,0.63,0.13,0.5
Kırşehir,0.56,0.65,0.1,0.5
Konya,0.65,0.46,0.2,0.5
Sivas,0.53,0.64,0.14,0.49
Aydın,0.58,0.62,0.05,0.49
Gümüşhane,0.49,0.67,0.15,0.49
Samsun,0.57,0.58,0.09,0.48
Malatya,0.44,0.7,0.16,0.48
Amasya,0.57,0.59,0.05,0.48
Nevşehir,0.58,0.54,0.12,0.47
Burdur,0.53,0.63,0.06,0.47
Karaman,0.6,0.48,0.16,0.47
Adana,0.47,0.63,0.19,0.47
Bartın,0.65,0.48,0.03,0.46
Elazığ,0.42,0.67,0.16,0.46
Çankırı,0.55,0.56,0.06,0.45
Giresun,0.53,0.6,0.01,0.45
Erzurum,0.44,0.55,0.31,0.45
Mersin,0.41,0.62,0.14,0.43
Afyonkarahisar,0.59,0.39,0.14,0.43
Manisa,0.58,0.43,0.09,0.43
Bingöl,0.27,0.65,0.33,0.41
Tokat,0.5,0.47,0.08,0.41
Sinop,0.57,0.41,0.0,0.4
Kastamonu,0.54,0.44,0.01,0.4
Hakkari,0.11,0.63,0.56,0.38
Niğde,0.42,0.42,0.19,0.37
Gaziantep,0.41,0.27,0.47,0.37
Osmaniye,0.27,0.57,0.22,0.37
Bayburt,0.46,0.29,0.27,0.36
Aksaray,0.49,0.29,0.22,0.36
Ordu,0.42,0.48,0.04,0.36
Kahramanmaraş,0.34,0.37,0.29,0.34
Çorum,0.43,0.39,0.05,0.34
Kilis,0.2,0.46,0.4,0.33
Yozgat,0.38,0.39,0.11,0.33
Siirt,0.18,0.29,0.73,0.33
Diyarbakır,0.18,0.33,0.55,0.31
Bitlis,0.15,0.32,0.58,0.3
Batman,0.06,0.4,0.63,0.29
Kars,0.19,0.35,0.36,0.28
Şırnak,0.01,0.29,0.86,0.28
Van,0.18,0.18,0.64,0.27
Iğdır,0.17,0.3,0.43,0.27
Şanlıurfa,0.08,0.0,1.0,0.24
Adıyaman,0.01,0.45,0.35,0.23
Mardin,0.0,0.25,0.62,0.21
Muş,0.04,0.16,0.69,0.21
Ardahan,0.07,0.39,0.14,0.19
Ağrı,0.06,0.04,0.72,0.18
