Tarih,Anket şirketi,Örneklem,Erdoğan,Kılıçdaroğlu
Mayıs ayı ortalaması,Mayıs ayı ortalaması,2573,"50,8","49,2"
27 Nisan-2 Mayıs,ASAL,2573,"50,8","49,2"
Nisan ayı ortalaması,Nisan ayı ortalaması,40000,"48,79","51,21"
25-29 Nisan,Optimar[a 1],3005,"51,4","48,6"
26-28 Nisan,Aksoy[a 2],1537,"45,8","54,2"
25-27 Nisan,Areda Survey[a 3],14913,"53,3","46,7"
24-26 Nisan,Gezici,3991,"47,2","52,8"
23-26 Nisan,TEAM,3054,"47,5","52,5"
17-25 Nisan,TÜSİAR,4223,"51,1","48,9"
17-24 Nisan,Artıbir,1500,"46,4","53,6"
15-24 Nisan,Bulgu,2400,"44,4","55,6"
12-20 Nisan,Area,10277,"49,3","50,7"
15-20 Nisan,Areda Survey[a 3],1740,"53,5","46,5"
10-16 Nisan,SONAR,4541,"52,1","47,9"
5-15 Nisan,HBS,5100,"49,3","50,7"
12-14 Nisan,Areda Survey[a 3],10136,"52,6","47,4"
1-7 Nisan,Optimar[a 1],4775,"51,1","48,9"
1-2 Nisan,Gezici,2864,"44,8","55,2"
25 Mart-2 Nisan,ASAL,2147,"51,4","48,6"
28 Mart-1 Nisan,Areda Survey[a 3],18478,"52,8","47,2"
Nisan,TEAM,5000,"48,1","51,9"
Nisan,GENAR[a 5],5000,"51,7","48,3"
Nisan,Aksoy[a 2],1067,"42,6","57,4"
Nisan,İEA[no 1],5000,"47,1","52,9"
Nisan,SAROS,10729,"49,7","50,3"
Mart ayı ortalaması,,40000,"46,67","53,33"
27-29 Mart,Yöneylem,2644,"44,9","55,1"
12-17 Mart,Avrasya[a 4],2560,"43,0","57,0"
11-15 Mart,Bulgu,1800,"46,3","53,7"
11-14 Mart,MetroPOLL[no 1],2000,"48,5","51,5"
7-10 Mart,ADA,3121,"53,7","46,3"
6-9 Mart,İEA,2000,"45,5","54,5"
8 Mart,Aksoy[a 2],1537,"44,4","55,6"
6-7 Mart,ALF,1770,"44,9","55,1"
Mart,TEAM,5000,"47,9","52,1"
Mart,Aksoy[a 2],1537,"43,2","56,8"
Mart,SAROS,10826,"46,3","53,7"
Mart,GENAR[a 5],3000,"52,3","47,7"
Mart,Piar,1460,"42,9","57,1"
