Province,Number of households residing in dwellings,Owner-occupied,Rented,Other,Unknown
Adana , 632 875, 357 430, 163 758, 88 668, 23 020
Adıyaman , 155 300, 98 012, 40 705, 15 762,821
Afyonkarahisar, 218 348, 149 265, 41 496, 24 631, 2 956
Ağrı, 109 974, 68 167, 26 124, 13 214, 2 469
Amasya, 109 469, 70 943, 22 143, 11 614, 4 768
Ankara,1 874 093,1 146 066, 563 059, 140 329, 24 639
Antalya, 858 107, 499 668, 276 482, 56 538, 25 419
Artvin, 58 847, 40 499, 11 589, 6 157,602
Aydın, 391 460, 248 015, 91 125, 39 208, 13 112
Balıkesir, 456 193, 307 043, 108 917, 38 864, 1 370
Bilecik, 72 972, 46 988, 17 247, 6 504, 2 232
Bingöl, 76 458, 51 713, 17 364, 5 010, 2 371
Bitlis, 79 417, 48 316, 21 007, 8 896, 1 199
Bolu, 104 358, 67 848, 22 264, 12 232, 2 014
Burdur, 96 220, 69 085, 20 115, 5 992, 1 028
Bursa, 966 765, 572 675, 260 967, 113 694, 19 429
Çanakkale, 204 793, 140 162, 46 358, 15 889, 2 384
Çankırı, 68 624, 43 468, 12 578, 10 138, 2 440
Çorum, 179 367, 121 935, 36 651, 14 531, 6 250
Denizli, 353 281, 213 159, 91 265, 34 027, 14 830
Diyarbakır, 394 867, 245 655, 109 581, 36 793, 2 837
Edirne, 144 147, 89 049, 27 804, 25 581, 1 713
Elazığ, 173 836, 114 463, 40 522, 13 060, 5 790
Erzincan, 75 398, 48 636, 16 844, 9 018,900
Erzurum, 197 862, 137 928, 41 382, 17 284, 1 268
Eskişehir, 326 876, 201 634, 95 436, 24 425, 5 381
Gaziantep, 522 947, 290 044, 188 756, 39 515, 4 633
Giresun, 164 548, 109 528, 30 086, 22 046, 2 888
Gümüşhane, 49 045, 31 944, 9 648, 5 736, 1 717
Hakkari, 52 571, 30 382, 15 762, 5 559,867
Hatay, 449 151, 294 845, 93 831, 52 543, 7 933
Isparta, 151 622, 87 652, 41 234, 20 197, 2 540
Mersin, 575 635, 331 298, 158 768, 66 374, 19 196
İstanbul,4 755 086,2 501 473,1 763 740, 356 488, 133 385
İzmir,1 503 086, 886 205, 447 733, 135 087, 34 061
Kars, 72 246, 45 902, 13 553, 11 720, 1 071
Kastamonu, 130 351, 85 751, 23 720, 17 787, 3 093
Kayseri, 424 008, 271 367, 100 253, 39 732, 12 656
Kırklareli, 128 459, 86 023, 25 490, 12 713, 4 233
Kırşehir, 76 682, 51 693, 17 419, 7 212,358
Kocaeli, 602 601, 371 234, 172 077, 54 805, 4 485
Konya, 664 773, 413 728, 169 855, 61 632, 19 558
Kütahya, 192 678, 130 354, 39 947, 18 951, 3 425
Malatya, 230 499, 156 250, 45 010, 22 028, 7 212
Manisa, 475 046, 321 813, 101 697, 46 415, 5 122
Kahramanmaraş, 311 458, 206 833, 68 669, 28 876, 7 080
Mardin, 180 355, 102 786, 51 936, 23 225, 2 408
Muğla, 362 287, 216 036, 107 723, 32 286, 6 241
Muş, 86 457, 51 190, 23 574, 9 743, 1 951
Nevşehir, 95 941, 60 897, 22 858, 11 469,716
Niğde, 112 323, 79 834, 21 224, 10 127, 1 138
Ordu, 265 344, 188 354, 48 121, 19 226, 9 643
Rize, 111 428, 75 812, 18 710, 14 937, 1 969
Sakarya, 312 767, 199 641, 70 270, 34 351, 8 505
Samsun, 424 068, 273 142, 90 973, 46 805, 13 149
Siirt, 67 578, 41 178, 18 663, 6 722, 1 014
Sinop, 78 098, 54 396, 14 982, 8 141,579
Sivas, 193 486, 130 800, 41 424, 19 286, 1 976
Tekirdağ, 349 057, 211 049, 82 105, 35 094, 20 808
Tokat, 191 711, 142 083, 31 816, 14 940, 2 872
Trabzon, 263 340, 173 383, 53 773, 34 039, 2 145
Tunceli, 29 606, 19 350, 6 184, 3 115,957
Şanlıurfa, 411 421, 274 185, 102 241, 31 702, 3 293
Uşak, 124 856, 79 321, 28 900, 16 011,623
Van, 241 504, 152 045, 63 147, 25 044, 1 268
Yozgat, 134 087, 92 995, 24 528, 12 772, 3 792
Zonguldak, 199 841, 123 914, 36 760, 27 144, 12 022
Aksaray, 123 019, 79 879, 28 595, 13 735,811
Bayburt, 24 347, 15 778, 5 242, 3 111,216
Karaman, 81 356, 53 799, 19 078, 5 902, 2 577
Kırıkkale, 91 553, 63 666, 19 932, 7 362,594
Batman, 124 388, 61 197, 45 204, 13 100, 4 888
Şırnak, 95 412, 52 863, 28 147, 13 873,529
Bartın, 67 709, 41 876, 11 293, 9 982, 4 557
Ardahan, 28 669, 20 114, 4 706, 3 553,296
Iğdır, 49 386, 32 543, 11 142, 4 892,809
Yalova, 95 085, 52 397, 28 522, 8 722, 5 444
Karabük, 85 036, 52 767, 16 564, 8 195, 7 510
Kilis, 40 020, 25 083, 10 743, 4 089,106
Osmaniye, 156 199, 105 087, 31 253, 16 316, 3 543
Düzce, 119 700, 83 232, 21 357, 12 485, 2 626
