party,total_vote,total_parliamentarians,province
AK,460761,5,Adana
MHP,156201,2,Adana
HÜDAPAR,7325,0,Adana
Vatan,2577,0,Adana
HDP,179595,2,Adana
CHP,346115,4,Adana
Saadet,14284,0,Adana
IYI,161222,2,Adana
TuÄŸÃ§e Sezen GediÌ‡k,276,0,Adana
MPZP,0,0,Adana
Mustafa SÃ¼ha AÅŸlamaci,133,0,Adana
AK,191073,4,Adıyaman
MHP,31715,0,Adıyaman
HÜDAPAR,4262,0,Adıyaman
MPZP,0,0,Adıyaman
HDP,53437,0,Adıyaman
CHP,41787,1,Adıyaman
Saadet,5625,0,Adıyaman
IYI,18275,0,Adıyaman
AK,255392,3,Afyonkarahisar
MHP,64335,1,Afyonkarahisar
HÜDAPAR,1030,0,Afyonkarahisar
MPZP,0,0,Afyonkarahisar
HDP,5770,0,Afyonkarahisar
CHP,66646,1,Afyonkarahisar
Saadet,5100,0,Afyonkarahisar
IYI,61680,1,Afyonkarahisar
AK,66606,1,Ağrı
MHP,5796,0,Ağrı
HÜDAPAR,1740,0,Ağrı
Vatan,420,0,Ağrı
HDP,143880,3,Ağrı
CHP,6720,0,Ağrı
Saadet,1891,0,Ağrı
IYI,3832,0,Ağrı
MPZP,0,0,Ağrı
FehmiÌ‡ Atmaca,148,0,Ağrı
AK,106918,2,Amasya
MHP,28237,0,Amasya
HÜDAPAR,368,0,Amasya
MPZP,0,0,Amasya
HDP,5160,0,Amasya
CHP,56304,1,Amasya
Saadet,2534,0,Amasya
IYI,27553,0,Amasya
AK,517427,6,Antalya
MHP,149744,1,Antalya
HÜDAPAR,3187,0,Antalya
MPZP,0,0,Antalya
HDP,108725,1,Antalya
CHP,431291,5,Antalya
Saadet,14316,0,Antalya
IYI,250150,3,Antalya
SeviÌ‡nÃ§ Sertbarut,423,0,Antalya
Ä°zzettiÌ‡n CiÌ‡van,41,0,Antalya
Hasan LÃ¶k,566,0,Antalya
KamiÌ‡l Kaya,147,0,Antalya
HaÅŸmet CengiÌ‡zler,107,0,Antalya
AK,46760,1,Artvin
MHP,11772,0,Artvin
HÜDAPAR,329,0,Artvin
MPZP,0,0,Artvin
HDP,5674,0,Artvin
CHP,36969,1,Artvin
Saadet,1679,0,Artvin
IYI,11824,0,Artvin
AK,237740,4,Aydın
MHP,59202,0,Aydın
HÜDAPAR,1822,0,Aydın
MPZP,0,0,Aydın
HDP,68534,0,Aydın
CHP,248167,3,Aydın
Saadet,5203,0,Aydın
IYI,108064,1,Aydın
