name,total_vote,province
Muharrem İnce,460757,Adana
Meral Akşener,125982,Adana
Recep Tayyi̇p Erdoğan,567512,Adana
Selahatti̇n Demi̇rtaş,119519,Adana
Temel Karamollaoğlu,9800,Adana
Doğu Peri̇nçek,2324,Adana
Muharrem İnce,68856,Adıyaman
Meral Akşener,11493,Adıyaman
Recep Tayyi̇p Erdoğan,226951,Adıyaman
Selahatti̇n Demi̇rtaş,24949,Adıyaman
Temel Karamollaoğlu,3906,Adıyaman
Doğu Peri̇nçek,529,Adıyaman
Muharrem İnce,84026,Afyonkarahisar
Meral Akşener,51951,Afyonkarahisar
Recep Tayyi̇p Erdoğan,303088,Afyonkarahisar
Selahatti̇n Demi̇rtaş,1589,Afyonkarahisar
Temel Karamollaoğlu,3878,Afyonkarahisar
Doğu Peri̇nçek,929,Afyonkarahisar
Muharrem İnce,11296,Ağrı
Meral Akşener,2571,Ağrı
Recep Tayyi̇p Erdoğan,71421,Ağrı
Selahatti̇n Demi̇rtaş,137829,Ağrı
Temel Karamollaoğlu,1561,Ağrı
Doğu Peri̇nçek,253,Ağrı
Muharrem İnce,67894,Amasya
Meral Akşener,22279,Amasya
Recep Tayyi̇p Erdoğan,126075,Amasya
Selahatti̇n Demi̇rtaş,842,Amasya
Temel Karamollaoğlu,1936,Amasya
Doğu Peri̇nçek,382,Amasya
Muharrem İnce,1242566,Ankara
Meral Akşener,310123,Ankara
Recep Tayyi̇p Erdoğan,1767016,Ankara
Selahatti̇n Demi̇rtaş,70750,Ankara
Temel Karamollaoğlu,32291,Ankara
Doğu Peri̇nçek,7108,Ankara
Muharrem İnce,558046,Antalya
Meral Akşener,193972,Antalya
Recep Tayyi̇p Erdoğan,616020,Antalya
Selahatti̇n Demi̇rtaş,58956,Antalya
Temel Karamollaoğlu,8581,Antalya
Doğu Peri̇nçek,3018,Antalya
Muharrem İnce,46105,Artvin
Meral Akşener,9539,Artvin
Recep Tayyi̇p Erdoğan,53766,Artvin
Selahatti̇n Demi̇rtaş,840,Artvin
Temel Karamollaoğlu,1090,Artvin
Doğu Peri̇nçek,304,Artvin
Muharrem İnce,312871,Aydın
Meral Akşener,79685,Aydın
Recep Tayyi̇p Erdoğan,268628,Aydın
Selahatti̇n Demi̇rtaş,40882,Aydın
Temel Karamollaoğlu,3138,Aydın
Doğu Peri̇nçek,2194,Aydın
Muharrem İnce,331631,Balıkesir
Meral Akşener,86912,Balıkesir
Recep Tayyi̇p Erdoğan,397404,Balıkesir
Selahatti̇n Demi̇rtaş,14139,Balıkesir
Temel Karamollaoğlu,6304,Balıkesir
Doğu Peri̇nçek,2206,Balıkesir
Muharrem İnce,43909,Bilecik
Meral Akşener,18075,Bilecik
Recep Tayyi̇p Erdoğan,70311,Bilecik
